rank,title,year,rating,rating_count,genre,url
N/A,Renfield,N/A,6.4,115961,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt11358390/
N/A,The Weather Man,N/A,6.5,85304,"C, o, m, e, d, y, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0384680/
N/A,Butcher&apos;s Crossing,N/A,5.6,6945,"A, d, v, e, n, t, u, r, e, ,,  , D, r, a, m, a, ,,  , W, e, s, t, e, r, n",https://www.imdb.com/title/tt1462759/
N/A,National Treasure,N/A,6.9,370957,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt0368891/
N/A,The Family Man,N/A,6.8,127112,"C, o, m, e, d, y, ,,  , D, r, a, m, a, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt0218967/
N/A,Mom and Dad,N/A,5.6,29223,"C, o, m, e, d, y, ,,  , H, o, r, r, o, r, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt5462326/
N/A,Kiss of Death,N/A,6.0,20925,"C, r, i, m, e, ,,  , D, r, a, m, a, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0113552/
N/A,Guarding Tess,N/A,6.2,20398,"C, o, m, e, d, y, ,,  , D, r, a, m, a",https://www.imdb.com/title/tt0109951/
N/A,Vampire&apos;s Kiss,N/A,6.1,23881,"C, o, m, e, d, y, ,,  , C, r, i, m, e, ,,  , F, a, n, t, a, s, y",https://www.imdb.com/title/tt0098577/
N/A,Honeymoon in Vegas,N/A,5.9,20059,"C, o, m, e, d, y, ,,  , R, o, m, a, n, c, e, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0104438/
N/A,National Treasure: Book of Secrets,N/A,6.5,263653,"A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , M, y, s, t, e, r, y",https://www.imdb.com/title/tt0465234/
N/A,Astro Boy,N/A,6.2,42052,"A, n, i, m, a, t, i, o, n, ,,  , A, c, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e",https://www.imdb.com/title/tt0375568/
N/A,Willy&apos;s Wonderland,N/A,5.5,42720,"A, c, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , H, o, r, r, o, r",https://www.imdb.com/title/tt8114980/
N/A,Snake Eyes,N/A,6.1,90736,"C, r, i, m, e, ,,  , M, y, s, t, e, r, y, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt0120832/
N/A,Sympathy for the Devil,N/A,5.5,13248,"A, c, t, i, o, n, ,,  , T, h, r, i, l, l, e, r",https://www.imdb.com/title/tt21991654/
N/A,The Ant Bully,N/A,5.8,43580,"A, n, i, m, a, t, i, o, n, ,,  , A, d, v, e, n, t, u, r, e, ,,  , C, o, m, e, d, y",https://www.imdb.com/title/tt0429589/
N/A,Windtalkers,N/A,6.1,76193,"A, c, t, i, o, n, ,,  , D, r, a, m, a, ,,  , W, a, r",https://www.imdb.com/title/tt0245562/
